EVI,date,DOY
0.3384581005992493,2014-01-01,1
0.29792326898595217,2014-01-17,17
0.2637400109930726,2014-02-02,33
0.2823723432618468,2014-02-18,49
0.3302447241149476,2014-03-06,65
0.4028273752775915,2014-03-22,81
0.4119030290968942,2014-04-07,97
0.40284607171400283,2014-04-23,113
0.4210089413481677,2014-05-09,129
0.38554749173717157,2014-05-25,145
0.4092556596949109,2014-06-10,161
0.44707747683715415,2014-06-26,177
0.360883337783118,2014-07-12,193
0.45214136175105746,2014-07-28,209
0.41177179044929496,2014-08-13,225
0.3577189558950761,2014-08-29,241
0.37290647675186367,2014-09-14,257
0.3466489943549938,2014-09-30,273
0.34604369335645774,2014-10-16,289
0.32167321765335827,2014-11-01,305
0.3357335528788908,2014-11-17,321
0.28866121372365056,2014-12-03,337
0.30464215401041855,2014-12-19,353
0.3017698123280362,2015-01-01,1
0.3095817101177329,2015-01-17,17
0.30745005038491585,2015-02-02,33
0.36432563376010446,2015-02-18,49
0.3247756566623394,2015-03-06,65
0.36266291922934807,2015-03-22,81
0.36048766533043936,2015-04-07,97
0.4399173033487802,2015-04-23,113
0.3966883950430096,2015-05-09,129
0.3657105716091345,2015-05-25,145
0.4108591514195788,2015-06-10,161
0.3952274729756637,2015-06-26,177
0.35998584275298134,2015-07-12,193
0.4272416532681767,2015-07-28,209
0.3795256814287035,2015-08-13,225
0.3595310627267027,2015-08-29,241
0.38830289703382276,2015-09-14,257
0.32743763579445545,2015-09-30,273
0.3163214437568514,2015-10-16,289
0.3100657714262257,2015-11-01,305
0.35293755808480487,2015-11-17,321
0.334366422797358,2015-12-03,337
0.38145825601854944,2015-12-19,353
0.3203609862807721,2016-01-01,1
0.3112433822019631,2016-01-17,17
0.2883215066195359,2016-02-02,33
0.31879422389856066,2016-02-18,49
0.3284939057944229,2016-03-05,65
0.3679137508173729,2016-03-21,81
0.3434396767783983,2016-04-06,97
0.4018189854784039,2016-04-22,113
0.4150060720930754,2016-05-08,129
0.4409883429206828,2016-05-24,145
0.4132379087264645,2016-06-09,161
0.40893414417086926,2016-06-25,177
0.37263957309777757,2016-07-11,193
0.4163115796855611,2016-07-27,209
0.3849783815543832,2016-08-12,225
0.3444603680200644,2016-08-28,241
0.3668604107585391,2016-09-13,257
0.33491678782573336,2016-09-29,273
0.36682711687720915,2016-10-15,289
0.3026989686097242,2016-10-31,305
0.31045403600547167,2016-11-16,321
0.3042813784302023,2016-12-02,337
0.2807420150175477,2016-12-18,353
0.312760463478044,2017-01-01,1
0.2953439583905891,2017-01-17,17
0.2957074408569545,2017-02-02,33
0.3018388238676032,2017-02-18,49
0.3091702590005774,2017-03-06,65
0.36499980288283934,2017-03-22,81
0.3456998717474876,2017-04-07,97
0.3436065355079397,2017-04-23,113
0.3884017636299887,2017-05-09,129
0.3965946336116344,2017-05-25,145
0.36937350304133976,2017-06-10,161
0.3809179859354641,2017-06-26,177
0.3663914518033959,2017-07-12,193
0.39653037384657364,2017-07-28,209
0.34933281337364114,2017-08-13,225
0.3934237134472447,2017-08-29,241
0.3470742983229244,2017-09-14,257
0.3465649785350785,2017-09-30,273
0.3352592359182849,2017-10-16,289
0.3232652922167156,2017-11-01,305
0.32994147262946066,2017-11-17,321
0.318312748489242,2017-12-03,337
0.29734385888432974,2017-12-19,353
0.3082845338842513,2018-01-01,1
0.2677929704355852,2018-01-17,17
0.29801609126777273,2018-02-02,33
0.2950704472727383,2018-02-18,49
0.3009363659050491,2018-03-06,65
0.3236462874688455,2018-03-22,81
0.38353621648771435,2018-04-07,97
0.40301526773501695,2018-04-23,113
0.3432620375723004,2018-05-09,129
0.3595259547072788,2018-05-25,145
0.36656647871039916,2018-06-10,161
0.4080710029283271,2018-06-26,177
0.36118232326582744,2018-07-12,193
0.37484551700609353,2018-07-28,209
0.3825444584490293,2018-08-13,225
0.3601557453018839,2018-08-29,241
0.3762857977716918,2018-09-14,257
0.3365535732223922,2018-09-30,273
0.34579495297934376,2018-10-16,289
0.33129473659271624,2018-11-01,305
0.3321667143664933,2018-11-17,321
0.32412374377296155,2018-12-03,337
0.3019893657818506,2018-12-19,353
0.289757233157381,2019-01-01,1
0.27940911098264837,2019-01-17,17
0.2765013359110185,2019-02-02,33
0.313632738655039,2019-02-18,49
0.3154075782703596,2019-03-06,65
0.37342737275044774,2019-03-22,81
0.4033162147818913,2019-04-07,97
0.3665790957882004,2019-04-23,113
0.44236974251570793,2019-05-09,129
0.42526635519628053,2019-05-25,145
0.40103537400138395,2019-06-10,161
0.42499736039903613,2019-06-26,177
0.3778080584275493,2019-07-12,193
0.4006549075539469,2019-07-28,209
0.37177875399209614,2019-08-13,225
0.41989599574176406,2019-08-29,241
0.33615673499429893,2019-09-14,257
0.39990200181322494,2019-09-30,273
0.3535548456389414,2019-10-16,289
0.3883543209408549,2019-11-01,305
0.32629870957755647,2019-11-17,321
0.319449838420789,2019-12-03,337
0.291808150984165,2019-12-19,353
0.2947258220322659,2020-01-01,1
0.31659390295138806,2020-01-17,17
0.30047426452238607,2020-02-02,33
0.34328289408427426,2020-02-18,49
0.3236230658668264,2020-03-05,65
0.33732611328550804,2020-03-21,81
0.35995340232433987,2020-04-06,97
0.4204976396483486,2020-04-22,113
0.4047020488812659,2020-05-08,129
0.3622049873169017,2020-05-24,145
0.3868544147610439,2020-06-09,161
0.3907219627688647,2020-06-25,177
0.4005784987506441,2020-07-11,193
0.4369818974422153,2020-07-27,209
0.33821655247138843,2020-08-12,225
0.3502859781465308,2020-08-28,241
0.3047319465635595,2020-09-13,257
0.4057200326633246,2020-09-29,273
0.3511265476382272,2020-10-15,289
0.35760587687127027,2020-10-31,305
0.3367116602382463,2020-11-16,321
0.31729254966625847,2020-12-02,337
0.32855296702394216,2020-12-18,353
0.2830420879888054,2021-01-01,1
0.2862694995940779,2021-01-17,17
0.2708478059659529,2021-02-02,33
0.31470118649368406,2021-02-18,49
0.31070186661106963,2021-03-06,65
0.38124197205611554,2021-03-22,81
0.37430263738971387,2021-04-07,97
0.420145327470361,2021-04-23,113
0.41610349345943837,2021-05-09,129
0.37233101657489986,2021-05-25,145
0.3874054706330177,2021-06-10,161
0.37309372194476315,2021-06-26,177
0.3420540252651133,2021-07-12,193
0.4104233988179296,2021-07-28,209
0.40227654053063655,2021-08-13,225
0.36451384716470375,2021-08-29,241
0.3862752254685483,2021-09-14,257
0.3399112258855273,2021-09-30,273
0.35991193506505853,2021-10-16,289
0.3685795674162813,2021-11-01,305
0.32454024601738013,2021-11-17,321
0.3178383806698829,2021-12-03,337
0.3105321414694708,2021-12-19,353
0.2974977189374622,2022-01-01,1
0.3252813825368099,2022-01-17,17
0.30171011331077946,2022-02-02,33
0.2935916209411715,2022-02-18,49
0.36528756866721657,2022-03-06,65
0.3674630294759654,2022-03-22,81
0.3730821122493782,2022-04-07,97
0.43034061087366443,2022-04-23,113
0.3963763434134752,2022-05-09,129
0.39119533868455914,2022-05-25,145
0.3998732776730071,2022-06-10,161
0.44622867580860764,2022-06-26,177
0.4216203074901371,2022-07-12,193
0.38536497600793546,2022-07-28,209
0.38468499603554374,2022-08-13,225
0.3584646209443304,2022-08-29,241
0.3731194030888012,2022-09-14,257
0.3632903895906975,2022-09-30,273
0.32364296301210194,2022-10-16,289
0.32123392898320435,2022-11-01,305
0.353456016463817,2022-11-17,321
0.31142468972401294,2022-12-03,337
0.3022619208425615,2022-12-19,353
0.2950203457022552,2023-01-01,1
0.32810954629737776,2023-01-17,17
0.28408774272419746,2023-02-02,33
